Id,Predicted
0,neutral
1,surprise
2,anger
3,neutral
4,joy
5,neutral
6,neutral
7,neutral
8,neutral
9,neutral
10,joy
11,neutral
12,sadness
13,neutral
14,joy
15,neutral
16,sadness
17,surprise
18,neutral
19,neutral
20,neutral
21,neutral
22,surprise
23,joy
24,joy
25,anger
26,anger
27,joy
28,anger
29,joy
30,joy
31,neutral
32,neutral
33,neutral
34,joy
35,joy
36,neutral
37,neutral
38,surprise
39,neutral
40,neutral
41,neutral
42,surprise
43,neutral
44,neutral
45,neutral
46,sadness
47,joy
48,neutral
49,neutral
50,neutral
51,neutral
52,neutral
53,neutral
54,neutral
55,neutral
56,neutral
57,joy
58,neutral
59,neutral
60,neutral
61,neutral
62,anger
63,neutral
64,neutral
65,neutral
66,neutral
67,surprise
68,anger
69,joy
70,anger
71,neutral
72,neutral
73,joy
74,neutral
75,anger
76,surprise
77,anger
78,joy
79,joy
80,neutral
81,joy
82,neutral
83,joy
84,neutral
85,joy
86,neutral
87,joy
88,neutral
89,neutral
90,neutral
91,neutral
92,neutral
93,neutral
94,anger
95,sadness
96,neutral
97,joy
98,neutral
99,neutral
100,neutral
101,neutral
102,neutral
103,neutral
104,joy
105,neutral
106,neutral
107,neutral
108,neutral
109,anger
110,neutral
111,neutral
112,neutral
113,neutral
114,neutral
115,neutral
116,surprise
117,neutral
118,joy
119,joy
120,surprise
121,neutral
122,surprise
123,neutral
124,joy
125,joy
126,joy
127,joy
128,joy
129,joy
130,neutral
131,neutral
132,neutral
133,neutral
134,surprise
135,neutral
136,joy
137,neutral
138,anger
139,neutral
140,neutral
141,neutral
142,joy
143,neutral
144,surprise
145,neutral
146,neutral
147,neutral
148,surprise
149,surprise
150,neutral
151,surprise
152,neutral
153,neutral
154,neutral
155,neutral
156,neutral
157,neutral
158,joy
159,neutral
160,neutral
161,neutral
162,neutral
163,joy
164,surprise
165,joy
166,joy
167,sadness
168,neutral
169,anger
170,joy
171,neutral
172,neutral
173,neutral
174,anger
175,anger
176,neutral
177,neutral
178,neutral
179,neutral
180,neutral
181,neutral
182,sadness
183,neutral
184,neutral
185,neutral
186,neutral
187,neutral
188,sadness
189,neutral
190,neutral
191,neutral
192,neutral
193,neutral
194,neutral
195,neutral
196,neutral
197,neutral
198,neutral
199,joy
200,joy
201,joy
202,joy
203,neutral
204,sadness
205,joy
206,neutral
207,neutral
208,neutral
209,neutral
210,surprise
211,joy
212,anger
213,neutral
214,neutral
215,neutral
216,neutral
217,neutral
218,neutral
219,anger
220,joy
221,neutral
222,neutral
223,neutral
224,neutral
225,joy
226,sadness
227,neutral
228,neutral
229,neutral
230,neutral
231,neutral
232,neutral
233,surprise
234,neutral
235,surprise
236,neutral
237,anger
238,joy
239,neutral
240,neutral
241,anger
242,anger
243,neutral
244,sadness
245,joy
246,neutral
247,neutral
248,sadness
249,joy
250,joy
251,joy
252,joy
253,neutral
254,neutral
255,anger
256,neutral
257,neutral
258,neutral
259,surprise
260,neutral
261,neutral
262,neutral
263,neutral
264,joy
265,joy
266,joy
267,surprise
268,neutral
269,anger
270,neutral
271,anger
272,surprise
273,neutral
274,joy
275,neutral
276,joy
277,neutral
278,neutral
279,neutral
280,neutral
281,neutral
282,joy
283,neutral
284,neutral
285,neutral
286,joy
287,joy
288,joy
289,joy
290,joy
291,neutral
292,neutral
293,neutral
294,joy
295,neutral
296,neutral
297,sadness
298,neutral
299,neutral
300,neutral
301,sadness
302,neutral
303,neutral
304,neutral
305,sadness
306,neutral
307,sadness
308,joy
309,neutral
310,neutral
311,joy
312,neutral
313,neutral
314,neutral
315,neutral
316,joy
317,neutral
318,surprise
319,neutral
320,neutral
321,surprise
322,joy
323,neutral
324,joy
325,joy
326,anger
327,neutral
328,neutral
329,neutral
330,neutral
331,neutral
332,neutral
333,surprise
334,neutral
335,anger
336,neutral
337,neutral
338,neutral
339,neutral
340,neutral
341,neutral
342,neutral
343,neutral
344,joy
345,joy
346,joy
347,neutral
348,neutral
349,neutral
350,neutral
351,neutral
352,neutral
353,surprise
354,neutral
355,neutral
356,anger
357,neutral
358,neutral
359,neutral
360,neutral
361,neutral
362,neutral
363,joy
364,neutral
365,neutral
366,neutral
367,neutral
368,neutral
369,neutral
370,neutral
371,neutral
372,joy
373,neutral
374,neutral
375,neutral
376,joy
377,neutral
378,joy
379,joy
380,joy
381,neutral
382,neutral
383,joy
384,neutral
385,neutral
386,surprise
387,neutral
388,neutral
389,neutral
390,neutral
391,neutral
392,neutral
393,sadness
394,neutral
395,neutral
396,neutral
397,neutral
398,joy
399,neutral
400,joy
401,joy
402,anger
403,anger
404,joy
405,neutral
406,neutral
407,neutral
408,neutral
409,anger
410,anger
411,neutral
412,joy
413,joy
414,neutral
415,neutral
416,sadness
417,neutral
418,neutral
419,neutral
420,neutral
421,neutral
422,neutral
423,surprise
424,neutral
425,neutral
426,joy
427,neutral
428,neutral
429,neutral
430,neutral
431,neutral
432,neutral
433,neutral
434,neutral
435,neutral
436,neutral
437,neutral
438,neutral
439,neutral
440,neutral
441,neutral
442,sadness
443,neutral
444,joy
445,anger
446,surprise
447,neutral
448,neutral
449,joy
450,neutral
451,neutral
452,neutral
453,neutral
454,neutral
455,neutral
456,neutral
457,neutral
458,neutral
459,joy
460,joy
461,anger
462,neutral
463,neutral
464,joy
465,neutral
466,neutral
467,neutral
468,neutral
469,neutral
470,neutral
471,neutral
472,neutral
473,anger
474,neutral
475,neutral
476,joy
477,joy
478,anger
479,neutral
480,joy
481,surprise
482,neutral
483,neutral
484,joy
485,neutral
486,neutral
487,neutral
488,joy
489,neutral
490,neutral
491,joy
492,neutral
493,anger
494,neutral
495,neutral
496,neutral
497,joy
498,joy
499,neutral
500,neutral
501,neutral
502,joy
503,neutral
504,neutral
505,surprise
506,neutral
507,neutral
508,neutral
509,neutral
510,joy
511,neutral
512,neutral
513,neutral
514,sadness
515,surprise
516,neutral
517,joy
518,surprise
519,neutral
520,neutral
521,neutral
522,neutral
523,neutral
524,neutral
525,neutral
526,surprise
527,neutral
528,neutral
529,neutral
530,neutral
531,neutral
532,neutral
533,neutral
534,joy
535,joy
536,neutral
537,neutral
538,joy
539,neutral
540,surprise
541,joy
542,neutral
543,joy
544,neutral
545,neutral
546,neutral
547,joy
548,neutral
549,joy
550,neutral
551,neutral
552,joy
553,joy
554,joy
555,sadness
556,neutral
557,neutral
558,surprise
559,neutral
560,anger
561,neutral
562,surprise
563,joy
564,joy
565,sadness
566,joy
567,surprise
568,neutral
569,joy
570,neutral
571,neutral
572,neutral
573,joy
574,surprise
575,neutral
576,surprise
577,neutral
578,surprise
579,surprise
580,neutral
581,joy
582,joy
583,joy
584,neutral
585,neutral
586,surprise
587,neutral
588,neutral
589,neutral
590,surprise
591,surprise
592,neutral
593,anger
594,joy
595,joy
596,joy
597,joy
598,anger
599,anger
600,neutral
601,joy
602,neutral
603,joy
604,neutral
605,neutral
606,sadness
607,sadness
608,neutral
609,sadness
610,neutral
611,sadness
612,joy
613,neutral
614,surprise
615,neutral
616,neutral
617,neutral
618,neutral
619,neutral
620,neutral
621,joy
622,surprise
623,neutral
624,neutral
625,neutral
626,neutral
627,neutral
628,joy
629,neutral
630,neutral
631,neutral
632,sadness
633,neutral
634,anger
635,neutral
636,neutral
637,neutral
638,neutral
639,joy
640,neutral
